job_id,job_title,company_name,location,description_text,job_type,date_posted,apply_link,company_website,job_publisher
wD0EwchhX9zC8GZ0AAAAAA==,Machine Learning Engineer 4,Adobe,"Bengaluru, IN","JOB LEVEL
P40

EMPLOYEE ROLE
Individual Contributor

Adobe Advertising Cloud

Adobe Advertising is a combination of a ‘Demand Side Platform (DSP)’ and a ‘Spend Optimizer’ that helps customers plan, buy, measure, and optimize their digital media (across CTV, Online Video, Display, Search, Social, and Retail Media Networks). We help the largest global advertisers maximize the impact of their paid media budgets by delivering connected and personalized experiences to their consumers.

The Opportunity

This opportunity is with the Spend Optimizer group. In collaboration with a team of highly motivated data scientists and engineers, you will apply reinforcement learning, time series analysis, bayesian modeling, Gen AI frameworks to optimize ad spends.

What you'll Do
• Identify and develop the next generation of experiences for Ad Cloud customers
• Be hands on with up coming AI Technology and guide the development of the product roadmap
• Technically lead and guide team of skilled machine learning engineers to design and implement ML algorithms/models
• Collaborate with multi-functional teams to determine technical requirements
• Develop and deploy scalable machine learning solutions that optimize Adobe’s products and services, deliver value to clients and drive customer adoption
• Drive innovation through research and experimentation, encouraging an environment where new ideas can thrive

What you need to succeed
• Outstanding knowledge of machine learning frameworks and tools such as PyTorch, Tensorflow, Scikit-learn, with strong programming skills in Python
• Solid understanding of core machine learning, statistics and AI, including Bayesian Modeling, Time Series Analysis, Reinforcement Learning, Optimization, Deep Learning, Information Retrieval and RAG, Agentic Systems and LLM use cases. Ability to communicate technical outcomes to a non-Data Science audience will be a plus
• Experience in developing, deploying and maintaining ML models in a production environment
• Ability to thrive in a collaborative, inclusive, and diverse workplace, embracing different perspectives and ideas

Ideal Candidate Profile:
• A total of 10+ years of experience in an applied Machine Learning setting, delivering cloud-scale, data-driven products, and services
• PhD or Master’s in Computer Science/ Applied Math/Statistics/ related field.
• Experience and domain expertise in Digital Ad Technologies is desirable.
• Comfort with ambiguity, adaptability to evolving priorities, and an ability to influence technical and non-technical collaborators
• Strong problem solving skills, ability to learn fast, extreme design and implementation skills can compensate for any of the above requirements

Internal Opportunities

Creativity, curiosity, and constant learning are celebrated aspects of your career growth journey. We’re glad that you’re pursuing a new opportunity at Adobe!

Put your best foot forward:

1. Update your Resume/CV and Workday profile – don’t forget to include your uniquely ‘Adobe’ experiences and volunteer work.

2. Visit the Internal Mobility page on Inside Adobe to learn more about the process and set up a job alert for roles you’re interested in.

3. Check out these tips to help you prep for interviews.

4. If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe, including the impacts to your Benefits, AIP, Equity & Payroll.

Once you apply for a role via Workday, the Talent Team will reach out to you within 2 weeks. If you move into the official interview process with the hiring team, make sure you inform your manager so they can champion your career growth.

At Adobe, you will be immersed in an exceptional work environment that is recognized around the world. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely. If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is proud to be an Equal Employment Opportunity employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.",FULLTIME,2025-07-01T00:00:00.000Z,https://careers.adobe.com/us/en/job/R157078/Machine-Learning-Engineer-4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.adobe.com,Adobe Careers
yDfBSZrvqxKo3Il2AAAAAA==,Machine Learning Engineer - midlevel,CapeStart,"Nagercoil, IN","• 2+ years of ML + NLP experience.
• Programming in Python.
• Knowledge of SQL and NoSQL databases.
• Expert ability to write robust code in Python.
• Experience working with structured and unstructured data including data extraction, integration, and normalization.
• Very fluent in ML frameworks/libraries like Tensorflow, Pytorch, ONNX, Scikit Learn, Keras, Spacy.
• Expert skill at manipulating data frames using Pandas and arrays using NumPy.

Good To Have
• Experience with big data frameworks such as Spark and Hadoop.
• Experience with containerizing applications using docker.",FULLTIME,2025-07-04T00:00:00.000Z,https://in.linkedin.com/jobs/view/machine-learning-engineer-midlevel-at-capestart-4262444174?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://capestart.com,LinkedIn
_X85rEKwKqh5npmNAAAAAA==,"Machine Learning Engineer, SEO Science",eBay,"Bengaluru, IN","At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We’re committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts.

Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work — every day. We're in this together, sustaining the future of our customers, our company, and our planet.

Join a team of passionate thinkers, innovators, and dreamers — and help us connect people and build communities to create economic opportunity for all.

Do you love Big Data? Deploying Machine Learning models? Challenging optimization problems? Knowledgeable, collaborative co-workers? Come work at eBay and help us redefine global, online commerce!
Who Are We?

Looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If you’re interested in joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay – a company you can be proud to be a part of.

The Search Engine Optimization (SEO) and Landing Page teams define and build features that optimize the way customers browse our inventory and help them easily find and reach relevant eBay pages when searching on search engines like Google, Bing, Yahoo, etc. With literally hundreds of millions of products listed on eBay globally at any time, the scale at which eBay has to consider search engine optimization puts our team in a unique position to innovate and provide immediate value to the business.

The SEO Landing Page Platform holds the buyer intent data definition for our category and model landing pages. These pages serve as important destinations for buyers who come from search engines like Google as well as those who are browsing the eBay site. The Linking Services connect those pages and enable them to show up in navigational elements like the breadcrumb and category navigation. The operational tools provide the interface for manual intervention and eventual automation of those operational tasks.
What Will You Do

We are looking for exceptional Engineers, who take pride in creating simple solutions to apparently-complex problems. Our Engineering tasks typically involve at least one of the following:
• Building a pipeline that processes up to billions of items, frequently applying ML models on these datasets
• Creating services that provide Search or other Information Retrieval capabilities at low latency on datasets of hundreds of millions of items
• Crafting sound API design and driving integration between our Data layers and Customer-facing applications and components
• Designing and running A/B tests in Production experiences in order to vet and measure the impact of any new or improved functionality

If you love a good challenge, and are good at handling complexity - we’d love to hear from you!

​

eBay is an amazing company to work for. Being on the team, you can expect to benefit from:
• A competitive salary - including stock grants and a yearly bonus
• A healthy work culture that promotes business impact and at the same time highly values your personal well-being
• Being part of a force for good in this world - eBay truly cares about its employees, its customers, and the world’s population, and takes every opportunity to make this clearly apparent

​Job Responsibilities
• Design, deliver, and maintain significant features in data pipelines, ML processing, and / or service infrastructure
• Optimize software performance to achieve the required throughput and / or latency
• Work with your manager, peers, and Product Managers to scope projects and features
• Come up with a sound technical strategy, taking into consideration the project goals, timelines, and expected impact
• Take point on some cross-team efforts, taking ownership of a business problem and ensuring the different teams are in sync and working towards a coherent technical solution
• Take active part in knowledge sharing across the organization - both teaching and learning from others

Minimum Qualifications
• Passion and commitment for technical excellence
• B.Sc. or M.Sc. in Computer Science or an equivalent professional experience
• ​7+ years of software design and development experience, tackling non-trivial problems in backend services and / or data pipelines
• A solid foundation in Data Structures, Algorithms, Object-Oriented Programming, Software Design/architecture, and core Statistics knowledge
• Experience in production-grade coding in Java, and Python/Scala
• Experience in the close examination of data, computation of statistics, and deriving of data insights
• ​Experience in designing and operating Big Data processing pipelines in Hadoop environment, mainly Spark
• Experience in ML model deployment and applying at scale
• ​Excellent verbal and written communication and collaboration skills

eBay is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you have a need that requires accommodation, please contact us at talent@ebay.com. We will make every effort to respond to your request for accommodation as soon as possible. View our Accessibility Statement to learn more about eBay's commitment to ensuring digital accessibility for people with disabilities.

Please see the Talent Privacy Notice for information regarding how eBay handles your personal data collected when you use the eBay Careers website or apply for a job with eBay.

eBay is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you have a need that requires accommodation, please contact us at talent@ebay.com. We will make every effort to respond to your request for accommodation as soon as possible. View our accessibility statement to learn more about eBay's commitment to ensuring digital accessibility for people with disabilities.

The eBay Jobs website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies. Visit our Privacy Center for more information.",FULLTIME,2025-07-02T00:00:00.000Z,https://jobs.ebayinc.com/us/en/job/R0067954/Machine-Learning-Engineer-SEO-Science?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.ebayinc.com,EBay Jobs - EBay Inc.
AjnIMShl5EXzX7f-AAAAAA==,"Engineer, Senior-Machine learning",Qualcomm,"Hyderabad, IN","Company:
Qualcomm India Private Limited

Job Area:
Engineering Group, Engineering Group > Software Engineering

General Summary:

As a leading technology innovator, Qualcomm pushes the boundaries of what's possible to enable next-generation experiences and drives digital transformation to help create a smarter, connected future for all. As a Qualcomm Software Engineer, you will design, develop, create, modify, and validate embedded and cloud edge software, applications, and/or specialized utility programs that launch cutting-edge, world class products that meet and exceed customer needs. Qualcomm Software Engineers collaborate with systems, hardware, architecture, test engineers, and other teams to design system-level software solutions and obtain information on performance requirements and interfaces.

Minimum Qualifications:
• Bachelor's degree in Engineering, Information Systems, Computer Science, or related field and 2+ years of Software Engineering or related work experience.
OR
Master's degree in Engineering, Information Systems, Computer Science, or related field and 1+ year of Software Engineering or related work experience.
OR
PhD in Engineering, Information Systems, Computer Science, or related field.

• 2+ years of academic or work experience with Programming Language such as C, C++, Java, Python, etc.

Preferred Qualifications:

• Master's Degree in Engineering, Information Systems, Computer Science or related field.

• 4+ years of Software Engineering or related work experience.

• 2+ years of experience with Database Management Software.

• 2+ years of experience with API.

• 1+ year of work experience with Git, Perforce, or Source Code Management System.

Principal Duties and Responsibilities:

• Applies Software knowledge and experience to design, develop, create, modify, and validate embedded and cloud edge software, applications, and/or specialized utility programs.

• Analyzes user needs and software requirements to design and customize software for optimal operational efficiency.

• Designs and implements software modules for products and systems.

• Participates in the design, coding for large features, unit testing, significant debugging fixes, and integration efforts to ensure projects are completed to specifications and schedules.

• Performs code reviews and regression tests as well as triages and fixes issues to ensure the quality of code.

• Collaborates with others inside project team to accomplish project objectives.

• Writes technical documentation for Software projects.

Level of Responsibility:

• Works under supervision.

• Decision-making may affect work beyond immediate work group.

• Requires verbal and written communication skills to convey information. May require basic negotiation, influence, tact, etc.

• Tasks do not have defined steps; planning, problem-solving, and prioritization must occur to complete the tasks effectively.

Applicants: Qualcomm is an equal opportunity employer. If you are an individual with a disability and need an accommodation during the application/hiring process, rest assured that Qualcomm is committed to providing an accessible process. You may e-mail disability-accomodations@qualcomm.com or call Qualcomm's toll-free number found here. Upon request, Qualcomm will provide reasonable accommodations to support individuals with disabilities to be able participate in the hiring process. Qualcomm is also committed to making our workplace accessible for individuals with disabilities. (Keep in mind that this email address is used to provide reasonable accommodations for individuals with disabilities. We will not respond here to requests for updates on applications or resume inquiries).

Qualcomm expects its employees to abide by all applicable policies and procedures, including but not limited to security and other requirements regarding protection of Company confidential information and other confidential and/or proprietary information, to the extent those requirements are permissible under applicable law.

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

If you would like more information about this role, please contact Qualcomm Careers.",FULLTIME,2025-07-02T00:00:00.000Z,https://careers.qualcomm.com/careers/job/446703755305-engineer-senior-machine-learning-hyderabad-telangana-india?domain=qualcomm.com&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.qualcomm.com,Qualcomm Careers
75zem_tk1v_fxmEhAAAAAA==,ML Engineer II - Applied AI,Uber,"Bengaluru, IN","ABOUT THE ROLE

Applied AI is a horizontal AI team at Uber collaborating with business units across the company to deliver cutting-edge AI solutions for core business problems. We work closely with engineering, product and data science teams to understand key business problems and the potential for AI solutions, then deliver those AI solutions end-to-end. Key areas of expertise include Generative AI, Computer Vision, and Personalization.

We are looking for a strong Senior ML engineer to be a part of a high-impact team at the intersection of classical machine learning, generative AI, and ML infrastructure. In this role, you’ll be responsible for delivering Uber’s next wave of intelligent experiences by building ML solutions that power core user and business-facing products.

WHAT YOU’LL DO
• Solve business-critical problems using a mix of classical ML, deep learning, and generative AI.
• Collaborate with product, science, and engineering teams to execute on the technical vision and roadmap for Applied AI initiatives.
• Deliver high-quality, production-ready ML systems and infrastructure, from experimentation through deployment and monitoring.
• Adopt best practices in ML development lifecycle (e.g., data versioning, model training, evaluation, monitoring, responsible AI).
• Deliver enduring value in the form of software and model artifacts.

BASIC QUALIFICATIONS
• Master or PhD or equivalent experience in Computer Science, Engineering, Mathematics or a related field and 2 years of Software Engineering work experience, or 5 years Software Engineering work experience.
• Experience in programming with a language such as Python, C, C++, Java, or Go.
• Experience with ML packages such as Tensorflow, PyTorch, JAX, and Scikit-Learn.
• Experience with SQL and database systems such as Hive, Kafka, and Cassandra.
• Experience in the development, training, productionization and monitoring of ML solutions at scale.

PREFERRED QUALIFICATIONS
• Prior experience working with generative AI (e.g., LLMs, diffusion models) and integrating such technologies into end-user products.
• Experience in modern deep learning architectures and probabilistic models.
• Machine Learning, Computer Science, Statistics, or a related field with research or applied focus on large-scale ML systems.

We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.

Offices continue to be central to collaboration and Uber’s cultural identity. Unless formally approved to work fully remotely, Uber expects employees to spend at least half of their work time in their assigned office. For certain roles, such as those based at green-light hubs, employees are expected to be in-office for 100% of their time. Please speak with your recruiter to better understand in-office expectations for this role.
• Accommodations may be available based on religious and/or medical conditions, or as required by applicable law. To request an accommodation, please reach out to accommodations@uber.com.",FULLTIME,2025-06-16T00:00:00.000Z,https://www.uber.com/global/en/careers/list/144219/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.uber.com,Uber
6Nfg6kB76AAdmZGEAAAAAA==,Machine Learning Engineer (4+ years),Metric Tree Labs,"Kochi, IN","Department: Data Science / AI Job Type: Full-time

Job Summary:

We are looking for a skilled and results-driven Machine Learning Engineer to join our team. The ideal candidate will be responsible for designing, building, and deploying scalable machine learning models and pipelines that solve real-world problems and drive business value.

Key Responsibilities:

· Design and implement machine learning models for classification, regression, recommendation, NLP, or computer vision tasks.

· Build and deploy ML pipelines using tools like TensorFlow, PyTorch, Scikit-learn, or MLflow.

· Collaborate with data scientists, data engineers, and product teams to integrate models into production systems.

· Analyze large, complex datasets to derive actionable insights and drive model development.

· Conduct experiments, tune hyperparameters, and evaluate model performance using industry-standard metrics.

· Ensure robustness, fairness, and scalability of machine learning systems.

· Monitor and maintain deployed models, including retraining and updating as needed.

Required Skills & Qualifications:

· Bachelor's or Master’s degree in Computer Science, Artificial Intelligence, Data Science, or related field.

· 3-4+ years of experience in machine learning, data science, or applied AI roles.

· Proficiency in Python and ML libraries (Scikit-learn, TensorFlow, PyTorch, XGBoost, etc.).

· Experience with data manipulation tools (Pandas, NumPy) and SQL.

· Hands-on experience in deploying ML models into production (using REST APIs, Docker, Kubernetes, etc.).

· Solid understanding of ML algorithms, model evaluation, and overfitting/underfitting concepts.

· Familiarity with cloud platforms (AWS, GCP, Azure) is a plus.

Preferred Qualifications:

· Experience with NLP (e.g., BERT, GPT), computer vision (e.g., CNNs, OpenCV), or time-series forecasting.

· Exposure to MLOps tools and practices (e.g., MLflow, DVC, Kubeflow).

· Understanding of data engineering practices and pipeline automation.","CONTRACTOR, CONTRACTOR",2025-07-02T00:00:00.000Z,https://in.linkedin.com/jobs/view/machine-learning-engineer-4%2B-years-at-metric-tree-labs-4259171648?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.metrictreelabs.com,LinkedIn
uiiS2jVRkHgPzrKWAAAAAA==,Deep/Machine Learning Software Engineer - AI Models,"Advanced Micro Devices, Inc","Bengaluru, IN","WHAT YOU DO AT AMD CHANGES EVERYTHING

We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.

AMD together we advance_

THE ROLE:

AMD is looking for a software engineer who is passionate about expanding AI models on AMD GPUs, and improving the performance of key applications and benchmarks. You will be a member of a core team of incredibly talented industry specialists and will work with the very latest hardware and software technology. 

THE PERSON:

Strong technical and analytical skills in C++/Python AI development in a Linux environment. Ability to work as part of a team, while also being able to work independently, define goals and scope and lead your own development effort.

KEY RESPONSIBILITIES:
• Enable and optimize key AI models (LLM, Vision, MultiModal, etc.) on AMD GPUs
• Optimize AI frameworks like PyTorch, TensorFlow, etc. on AMD GPUs in upstream open-source repositories
• Collaborate and interact with internal GPU library teams to analyze and optimize training and inference for AI
• Work with open-source framework maintainers to understand their requirements – and have your code changes integrated upstream
• Optimize GPU kernels, understand and drive AI operator performance (GEMM, Attention, etc.) with specialized teams
• Work in a distributed computing setting to optimize for both scale-up (multi-GPU) and scale-out (multi-node) systems
• Apply your knowledge of software engineering best practices

PREFERRED EXPERIENCE:
• Knowledge of GPU computing (HIP, CUDA, OpenCL)
• AI model experience or knowledge - Natural Language Processing, Vision, Audio, Recommendation systems
• Excellent C/C++/Python programming and software design skills, including debugging, performance analysis, and test design.
• Experiences to run workloads on large scale heterogeneous cluster is a plus
• Experiences to optimize GPU kernels for performance is a plus

ACADEMIC CREDENTIALS:
• Masters or PhD or equivalent experience in Computer Science, Computer Engineering, or related field

#LI-NR1

Benefits offered are described: AMD benefits at a glance.

AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process.",FULLTIME,,https://careers.amd.com/careers-home/jobs/62165?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,AMD Careers
coOEIy5U7pOLw7UhAAAAAA==,Machine Learning Engineer,Adobe,"Noida, IN","JOB LEVEL
P30

EMPLOYEE ROLE
Individual Contributor

Excited by AI/ML? Interested in crafting new innovative solutions using Machine Learning?

The Document Cloud team, in Noida, is crafting PDF solutions spanning all surfaces - Web, Mobile, Desktop and Platform APIs, that processes billions of PDFs every month using ML, Deep-Learning and Generative AI at its core.

As a part of this, we need expert individuals focusing on research and development of methods for processing huge amount of content, and can build mashups of Vision, Image Processing, NLP, generative models to solve sophisticated problems.

What you get to do in this role:
• Develop algorithms that apply deep learning and innovative methods in NLP & computer vision, combined with traditional large sophisticated solutions/codebases!
• Developing innovative solutions using Generative AI, Python, Machine Learning and Data Science!
• Build experiments, algorithms and ship solution that not only yield high accuracy but are also crafted and engineered to scale.
• Collaborate across multiple research and engineering teams, making the tradeoffs required to rapidly deliver AI/ML software solutions.

In order to be successful, we need someone who has:
• B.Tech in Computer Science. MS/PhD preferred.
• 3+ years hands-on experience in either deep-learning models, Image processing, Vision and/or NLP.
• Ability to write efficient, clean, and reusable code in Python. Knowledge of C++.
• Broad Machine Learning experience – Data, Modelling, Metric, Analysis of Results.
• Experience in prompt-engineering and working with advanced-RAG systems.
• Exposure to Deep Learning - CNNs, LSTMs, Transformers, network architecture, network tuning, transfer learning, multi-task learning. Hands-on coding in pyTorch or Tensorflow.
• Exposure in building solutions from scratch and writing maintainable code inside large existing codebases.
• Strong software development skills that encourage code reuse among engineers and researchers.

Internal Opportunities

Creativity, curiosity, and constant learning are celebrated aspects of your career growth journey. We’re glad that you’re pursuing a new opportunity at Adobe!

Put your best foot forward:

1. Update your Resume/CV and Workday profile – don’t forget to include your uniquely ‘Adobe’ experiences and volunteer work.

2. Visit the Internal Mobility page on Inside Adobe to learn more about the process and set up a job alert for roles you’re interested in.

3. Check out these tips to help you prep for interviews.

4. If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe, including the impacts to your Benefits, AIP, Equity & Payroll.

Once you apply for a role via Workday, the Talent Team will reach out to you within 2 weeks. If you move into the official interview process with the hiring team, make sure you inform your manager so they can champion your career growth.

At Adobe, you will be immersed in an exceptional work environment that is recognized around the world. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely. If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is proud to be an Equal Employment Opportunity employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.",FULLTIME,2025-07-01T00:00:00.000Z,https://careers.adobe.com/us/en/job/R155866/Machine-Learning-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.adobe.com,Adobe Careers
mXxP19Z4mGSMKmhDAAAAAA==,Machine Learning Engineer,Krish TechnoLabs,"Ahmedabad, IN","The ML Engineer will be responsible for the design, development, training, and deployment of machine learning models. This role ensures that AI capabilities are production-grade, robust, and well-integrated with the company’s software stack.

What You’ll Be Doing
• Design, build, and train machine learning models using production-grade frameworks
• Translate AI product requirements into scalable model architectures
• Package models as APIs/microservices for product integration
• Build CI/CD pipelines for automated model training and release
• Evaluate model performance and handle versioning

What We’d Love To See
• Languages: Python, SQL
• Frameworks: PyTorch, TensorFlow, Hugging Face Transformers
• 3–6 years of hands-on experience in applied machine learning and deploying models into production.

It’d Be Great If You Had
• Tools: MLflow, Docker, FastAPI, GitHub Actions
• Deployment platforms: GCP Vertex AI, AWS SageMaker",FULLTIME,2025-07-03T00:00:00.000Z,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-krish-technolabs-4260119951?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.krishtechnolabs.com,LinkedIn
l-JbUdYsq7qfHPoAAAAAAA==,Machine Learning Engineer,"Keysight Technologies, Inc.","Gurugram, IN","Overview

Keysight is on the forefront of technology innovation, delivering breakthroughs and trusted insights in electronic design, simulation, prototyping, test, manufacturing, and optimization. Our ~15,000 employees create world-class solutions in communications, 5G, automotive, energy, quantum, aerospace, defense, and semiconductor markets for customers in over 100 countries. Learn more about what we do.

Our award-winning culture embraces a bold vision of where technology can take us and a passion for tackling challenging problems with industry-first solutions. We believe that when people feel a sense of belonging, they can be more creative, innovative, and thrive at all points in their careers.

We are seeking a Senior Machine Learning Engineer to lead the design, development, and deployment of scalable machine learning models that power business decisions across the enterprise. This role combines technical depth in ML/AI with a strong understanding of business domains such as Sales, Service, Finance, Order Fulfillment, and Supply Chain. You will collaborate closely with Data Scientists, Data Engineers, and business partners to build production-ready solutions that drive measurable impact.

Responsibilities

1. Machine Learning Development & Deployment
• Design and implement supervised and unsupervised models for predictive analytics, including churn prediction, demand forecasting, renewal risk scoring, and cross-sell/upsell opportunity identification.
• Translate business problems into ML frameworks and production solutions that improve efficiency, revenue, or customer experience.
• Build, optimize, and maintain ML pipelines using tools such as MLflow, Airflow, or Kubeflow.

2. Cross-Functional ML Use Cases
• Partner with teams across Sales (e.g., lead scoring, next-best action), Customer Service (e.g., case deflection, sentiment analysis), Finance (e.g., revenue forecasting, fraud detection), Supply Chain (e.g., inventory optimization, ETA prediction), and Order Fulfillment (e.g., delivery risk modeling) to define impactful ML use cases.
• Develop domain-specific models and continuously improve them using feedback loops and real-world performance data.

3. Model Governance and MLOps
• Ensure robust model monitoring, versioning, and retraining strategies to keep models reliable in dynamic environments.
• Work closely with DevOps and Data Engineering teams to automate deployment, CI/CD workflows, and cloud-native ML infrastructure (AWS/GCP/Azure).

4. Data Engineering and Feature Architecture
• Collaborate with data engineers to define feature stores, data quality checks, and model-ready datasets on platforms like Snowflake or Databricks.
• Perform feature selection, transformation, and engineering aligned with each domain’s business logic.

5. Communication & Stakeholder Collaboration
• Present technical insights and model results to business and executive stakeholders in a clear, actionable format.
• Work with Product Owners and Program Managers to scope, prioritize, and plan delivery of ML projects.

Qualifications

Required:
• 4+ years of experience in machine learning, data science, or AI engineering, with a strong software engineering foundation.
• Proficiency in Python, and libraries such as scikit-learn, XGBoost, PyTorch, TensorFlow, or similar.
• Experience deploying models into production using ML pipelines and orchestration frameworks.
• Strong understanding of data structures, SQL, and cloud platforms (e.g., AWS SageMaker, Azure ML, or GCP Vertex AI).

Preferred:
• Experience supporting business functions such as Finance, Sales, or Operations with ML use cases.
• Familiarity with MLOps tools (MLflow, SageMaker Pipelines, Feature Store).
• Exposure to enterprise data platforms (e.g., Snowflake, Oracle Fusion, Salesforce).
• Background in statistics, forecasting, optimization, or recommendation systems.

Careers Privacy Statement
• **Keysight is an Equal Opportunity Employer.***",FULLTIME,,https://jobs.keysight.com/external/jobs/48306?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://investor.keysight.com,Keysight Careers
